# This file is derived from: https://green.adam.ne.jp/roomazi/namae.html

# family names
あい,Ai
いくやま,Ikuyama
いくら,Ikura
いぐら,Igura
いけ,Ike
いけい,Ikei
いげい,Igei
いけうえ,Ikeue
いけうち,Ikeuti
いけうら,Ikeura
いけえ,Ikee
いけお,Ikeo
いけおか,Ikeoka
いけがみ,Ikegami
いけがめ,Ikegame
いけがや,Ikegaya
いけがわ,Ikegawa
いけぐち,Ikeguti
いけさき,Ikesaki
いけざき,Ikezaki
いけさわ,Ikesawa
いけざわ,Ikezawa
いけした,Ikesita
いけしま,Ikesima
いけじま,Ikezima
いけじり,Ikeziri
いけぞえ,Ikezoe
いけた,Iketa
いけだ,Ikeda
いげた,Igeta
いけたに,Iketani
いけど,Ikedo
いけなが,Ikenaga
いけにし,Ikenisi
いけの,Ikeno
いけのうえ,Ikenoue
いけのべ,Ikenobe
いけのや,Ikenoya
いけはた,Ikehata
いけばた,Ikebata
いけはら,Ikehara
いけばら,Ikebara
いけぶち,Ikebuti
いけべ,Ikebe
いけま,Ikema
いけまつ,Ikematu
いけみ,Ikemi
いけみず,Ikemizu
いけみや,Ikemiya
いけむら,Ikemura
いけもと,Ikemoto
いけもり,Ikemori
いけや,Ikeya
いけやつ,Ikeyatu
いけやま,Ikeyama
いけわき,Ikewaki
いごう,Igô
いごし,Igosi
いこま,Ikoma
いさ,Isa
いさか,Isaka
いざか,Izaka
いさかり,Isakari
いさかわ,Isakawa
いさがわ,Isagawa
いさき,Isaki
いざき,Izaki
いさご,Isago
いさじ,Isazi
いさみ,Isami
いさやま,Isayama
いさわ,Isawa
いざわ,Izawa
いし,Isi
いじ,Izi
いしあい,Isiai
いしい,Isii
いしうえ,Isiue
いしうち,Isiuti
いしうら,Isiura
いしお,Isio
いしおか,Isioka
いしか,Isika
いしが,Isiga
いしがい,Isigai
いしがき,Isigaki
いしかみ,Isikami
いしがみ,Isigami
いしがや,Isigaya
いしかわ,Isikawa
いしき,Isiki
いしきた,Isikita
いしぐち,Isiguti
いしくら,Isikura
いしぐり,Isiguri
いしぐれ,Isigure
いしくろ,Isikuro
いしぐろ,Isiguro
いしげ,Isige
いしごうおか,Isigôoka
いしさか,Isisaka
いしざか,Isizaka
いしさき,Isisaki
いしざき,Isizaki
いしさわ,Isisawa
いしざわ,Isizawa
いしした,Isisita
いししま,Isisima
いしじま,Isizima
いしず,Isizu
いしずか,Isizuka
いしぜき,Isizeki
いした,Isita
いしだ,Isida
いしたに,Isitani
いじち,Iziti
いしつ,Isitu
いしづ,Isizu
いしつか,Isituka
いしづか,Isizuka
いしづき,Isizuki
いしで,Iside
いしと,Isito
いしど,Isido
いしどう,Isidô
いしとび,Isitobi
いしとや,Isitoya
いしどや,Isidoya
いしなか,Isinaka
いしなべ,Isinabe
いしの,Isino
いしのはち,Isinohati
いしば,Isiba
いしはし,Isihasi
いしばし,Isibasi
いしはた,Isihata
いしはま,Isihama
いしはら,Isihara
いしふじ,Isihuzi
いしぶち,Isibuti
いしべ,Isibe
いしま,Isima
いじま,Izima
いしまさ,Isimasa
いしまつ,Isimatu
いしまる,Isimaru
いしみ,Isimi
いしみず,Isimizu
いしみち,Isimiti
いしみつ,Isimitu
いしみね,Isimine
いしむら,Isimura
いしもと,Isimoto
いしもり,Isimori
いしや,Isiya
いしやま,Isiyama
いじゅういん,Izyûin
いじり,Iziri
いしわ,Isiwa
いしわき,Isiwaki
いしわた,Isiwata
いしわたり,Isiwatari
いしわら,Isiwara
いず,Izu
いずい,Izui
いずおか,Izuoka
いずき,Izuki
いずた,Izuta
いずたに,Izutani
いずの,Izuno
いずはら,Izuhara
いすみ,Isumi
いずみ,Izumi
いずみかわ,Izumikawa
いずみさわ,Izumisawa
いずみた,Izumita
いずみだ,Izumida
いずみたに,Izumitani
いずみだに,Izumidani
いずみや,Izumiya
いずみやま,Izumiyama
いずも,Izumo
いずもと,Izumoto
いずりは,Izuriha
いずる,Izuru
いせ,Ise
いせき,Iseki
いぜき,Izeki
いせざき,Isezaki
いせだ,Iseda
いせや,Iseya
いせり,Iseri
いそ,Iso
いそえ,Isoe
いそお,Isoo
いそかい,Isokai
いそがい,Isogai
いそがえ,Isogae
いそがみ,Isogami
いそがや,Isogaya
いそかわ,Isokawa
いそがわ,Isogawa
